Date,Poll,Total voter,Yes(percent),No(percent),No comment(percent)
6 April 2023,"বড় দলগুলো একেবারেই অংশগ্রহণ না করলে নির্বাচনের ‘লিগ্যালিটি’ নিয়ে সংকট হবে না, কিন্তু ‘লেজিটিমেসি’ শূন্যের কোঠায় চলে যেতে পারে—সিইসি কাজী হাবিবুল আউয়ালের এ বক্তব্যের সঙ্গে আপনি কি একমত?",0,35,60,5
5 April 2023,"বঙ্গবাজারকে চার বছর আগে ঝুঁকিপূর্ণ ঘোষণা করে ফায়ার সার্ভিস, তারপরও এ ব্যাপারে পদক্ষেপ না নেওয়ায় দায়ীদের বিরুদ্ধে ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?",0,3,96,1
4 April 2023,"আগামী জাতীয় সংসদ নির্বাচন কেমন হবে, তার ওপর বাংলাদেশে গণতন্ত্রের ভবিষ্যৎ অনেকটা নির্ভর করবে। — সুজন সম্পাদক বদিউল আলম মজুমদারের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,91,8,1
3 April 2023,আগামী জাতীয় সংসদ নির্বাচনে ইভিএম ব্যবহারের সিদ্ধান্ত থেকে সরে এসেছে নির্বাচন কমিশন। ৩০০ আসনেই ভোট হবে কাগজের ব্যালটে। এ সিদ্ধান্ত নির্বাচন নিয়ে মানুষের আগ্রহ বাড়াবে বলে মনে করেন কি?,0,15,82,3
2 April 2023,ঈদযাত্রায় ভোগান্তি কমাতে সরকারি ছুটি এক দিন বাড়ানোর দাবি জানিয়েছে যাত্রী কল্যাণ সমিতি। আপনি কি তা সমর্থন করেন?,0,90,9,1
1 April 2023,কয়েক দিন ধরে কক্সবাজার সৈকতে ভেসে আসছে মৃত জেলিফিশ। এর কারণ অনুসন্ধান করে জীববৈচিত্র্য রক্ষায় কার্যকর ব্যবস্থা নেওয়া হবে বলে মনে করেন কি?,0,14,84,2
31 March 2023,পবিত্র ঈদের সময় পদ্মা সেতু দিয়ে মোটরসাইকেল চলাচল করতে দেওয়া উচিত বলে মনে করেন?,0,80,19,1
30 March 2023,"বেসরকারি গবেষণা প্রতিষ্ঠান সানেমের জরিপের তথ্য বলছে, নিম্ন আয়ের ৭১% পরিবার কম খাচ্ছে—আপনিও কি তাই মনে করেন?",0,96,3,1
29 March 2023,ডিজিটাল নিরাপত্তা আইনের মাধ্যমে সংবাদকর্মী ও মুক্ত মত প্রকাশকারী ব্যক্তিরা ক্রমাগতভাবে নিপীড়ন ও নির্যাতনের শিকার হচ্ছেন—সম্পাদক পরিষদের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,94,5,1
28 March 2023,"ঢাকা বিশ্ববিদ্যালয় ক্যাম্পাসে ‘প্রলয় গ্যাং’ তৈরি করে এক দল শিক্ষার্থী যেসব অপকর্ম করে আসছিলেন, তাতে বিশ্ববিদ্যালয় প্রশাসনের দায় আছে বলে আপনি কি মনে করেন?",0,98,1,1
27 March 2023,ঈদের ছুটিতে এক দিনে অতিরিক্ত যাত্রীর চাপ কমানোর জন্য ঈদের দুই-তিন দিন আগে শ্রমিকদের ছুটি দিতে কারখানাগুলোর প্রতি নির্দেশনা দিয়েছে বিজিএমইএ। কারখানামালিকেরা তা করবেন বলে আপনি কি মনে করেন?,0,10,89,1
26 March 2023,‘আমরা একটা রুচির দুর্ভিক্ষের মধ্যে পড়ে গেছি।’—হিরো আলম প্রসঙ্গে সাংস্কৃতিক ব্যক্তিত্ব মামুনুর রশীদের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,79,19,2
25 March 2023,চিনির আমদানি শুল্ক কমলেও দামে প্রভাব নেই—দাম কমাতে কার্যকর উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,0,4,95,1
24 March 2023,বিশ্ববাজারে ভোগ্যপণ্যের দাম কমার সুফল দেশে নিশ্চিত করার জন্য সরকার কার্যকর উদ্যোগ নেবে বলে মনে করেন কি?,0,4,95,1
23 March 2023,আগামী জাতীয় নির্বাচন নিয়ে আলোচনা ও মতবিনিময়ের জন্য বিএনপিকে আমন্ত্রণ জানিয়েছে নির্বাচন কমিশন। বিএনপির এ আহ্বানে সাড়া দেওয়া উচিত হবে বলে কি আপনি মনে করেন?,0,18,80,2
22 March 2023,"যাঁদের সন্ত্রাস, চাঁদাবাজি, সিট-বাণিজ্য ও মাদকের মানসিকতা আছে, তাঁদের ছাত্রলীগ থেকে বাদ দেওয়ার নির্দেশ দিয়েছেন আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদের। ছাত্রলীগ এই নির্দেশনা মেনে চলবে বলে আপনি মনে করেন কি?",0,3,96,1
21 March 2023,ঈদযাত্রায় ট্রেনের সব টিকিট অনলাইনে বিক্রির সিদ্ধান্তের সঙ্গে আপনি কি একমত?,0,79,19,2
20 March 2023,দেশে নিরাপদ সড়ক নিশ্চিত করতে সরকারের সংশ্লিষ্ট দপ্তরগুলোর উদ্যোগ যথেষ্ট বলে মনে করেন কি?,0,2,97,1
19 March 2023,চলাচলের অনুমতি না থাকলেও যাত্রী পরিবহন করে আসা ইমাদ পরিবহনের বাস দুর্ঘটনায় ১৯ জনের মৃত্যুর দায় তদারকি সংস্থা এড়াতে পারে বলে আপনি মনে করেন কি?,0,3,96,1
18 March 2023,রবিউল ইসলাম ওরফে আরাভ খানকে দুবাই থেকে দেশে ফিরিয়ে বিচারের আওতায় আনা সম্ভব হবে বলে মনে করেন কি?,0,7,91,2
17 March 2023,পবিত্র রমজানে নিত্যপণ্যের দাম নিয়ন্ত্রণে রাখতে কার্যকর উদ্যোগ নেওয়া হবে বলে মনে করেন কি?,0,3,96,1
16 March 2023,সেন্ট মার্টিন দ্বীপ রক্ষায় সরকার উদ্যোগী হবে বলে কি আপনি মনে করেন?,0,5,94,1
15 March 2023,রাজধানীতে ভূমিকম্প হলে ধসে পড়ার ঝুঁকিতে রয়েছে ৯ লাখ ভবন—এগুলোর বিষয়ে রাজউক কার্যকর কোনো উদ্যোগ নেবে বলে মনে করেন কি?,0,2,97,1
14 March 2023,বাংলাদেশ দলই এখন ফিল্ডিংয়ে এশিয়ার সেরা।—সাকিব আল হাসানের এই দাবির সঙ্গে আপনি কি একমত?,0,11,87,2
13 March 2023,রোজায় বাজারে অস্থিরতা দেখা দিলে আইনি ব্যবস্থা নিতে জেলা প্রশাসকদের নির্দেশ দিয়েছে সরকার। আপনি কি মনে করেন এতে কাজ হবে?,0,4,95,1
12 March 2023,"‘বাংলাদেশের জনগণ কখনো ভুল ভোট দেয় না, তাই এসব নিয়ে যুক্তরাজ্যের দুশ্চিন্তার কোনো কারণ নেই।’—পররাষ্ট্রমন্ত্রী এ কে আব্দুল মোমেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,7,92,1
11 March 2023,রাজধানীতে ভূমিকম্পসহনীয় ভবন নির্মাণ নিশ্চিত করতে রাজউক যথাযথ তদারকির উদ্যোগ নেবে বলে মনে করেন কি?,0,2,97,1
10 March 2023,ব্রয়লার মুরগিসহ সব ধরনের মাংসের দাম সহনীয় পর্যায়ে রাখতে সরকার যথাযথ উদ্যোগ নেবে বলে মনে করেন কি?,0,3,96,1
9 March 2023,‘দুর্ঘটনায় দায়ী ব্যক্তির শাস্তির জন্য ব্যস্ত হলেও আমরা এর মূল কারণ খুঁজে সমাধানের চেষ্টা করি না। তাতে একই ধরনের দুর্ঘটনা বারবার ঘটতে থাকে।’ বুয়েটের অধ্যাপক সৈয়দা সুলতানা রাজিয়ার এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,99,1,0
8 March 2023,সিদ্দিকবাজারে বিস্ফোরণের সম্ভাব্য পাঁচটি কারণের কথা বলেছে পুলিশের সিটিটিসি ইউনিটের বোমা নিষ্ক্রিয়করণ দল। এগুলো আমলে নিয়ে রাজধানীর ঝুঁকিপূর্ণ ভবনগুলোর বিষয়ে কর্তৃপক্ষ কার্যকর পদক্ষেপ নেবে বলে মনে করেন কি?,0,2,97,1
6 March 2023,"শিক্ষা উপমন্ত্রী মহিবুল হাসান চৌধুরী বলেছেন, নারী কী করবে, পুরুষ কী করবে, তা আমরা পাঠ্যপুস্তকেই নির্ধারণ করে দিচ্ছি। এটাই নারীর অগ্রগতির পথে বড় বাধা। আপনি কি তাঁর এই বক্তব্যের সঙ্গে একমত?",0,50,46,4
5 March 2023,বিদ্যুৎ–গ্যাসসংশ্লিষ্ট দুর্ঘটনা রোধে এসব সেবা তদারকের দায়িত্বে থাকা সংস্থাগুলোর জবাবদিহি নিশ্চিত করতে হব—ফায়ার সার্ভিসের সাবেক মহাপরিচালক আবু নাঈম মো. শহীদুল্লাহর এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,98,1,1
4 March 2023,দুর্নীতিবাজেরাই এখন সমাজে প্রভাবশালী ব্যক্তি হয়ে উঠেছেন—জাতীয় পার্টির চেয়ারম্যান জি এম কাদেরের এ বক্তব্যের সঙ্গে আপনি কি একমত?,0,99,1,0
3 March 2023,বায়ুদূষণে ছুটির দিন শুক্রবারও শীর্ষে ছিল ঢাকা শহর। ভীষণ অস্বাস্থ্যকর এ পরিস্থিতি থেকে এই নগরবাসীর শিগগিরই পরিত্রাণ পাওয়ার কোনো আশা দেখেন কি?,0,2,97,1
2 March 2023,"রাজনৈতিক দলগুলোর প্রতি বিরোধ নিরসনের আহ্বান জানিয়ে সিইসি কাজী হাবিবুল আউয়াল বলেছেন, নির্বাচন কমিশন এখানে মুরব্বিয়ানা করতে পারবে না। তাঁর এই বক্তব্যে আপনি কি সন্তুষ্ট?",0,14,83,3
1 March 2023,ঢাকার রাস্তায় মোটরসাইকেলের জন্য আলাদা লেনের দাবি জানিয়েছেন চালকেরা। আপনি কি তা সমর্থন করেন?,0,84,15,1
28 February 2023,দুপুরে প্রাথমিক বৃত্তি পরীক্ষার ফলাফল ঘোষণা করে সন্ধ্যায় তা স্থগিত করাটা শিক্ষার্থীদের ওপর ব্যাপক মানসিক চাপ তৈরি করবে বলে আপনি কি মনে করেন?,0,96,3,1
27 February 2023,বাংলাদেশিদের দ্বৈত নাগরিকত্বের ক্ষেত্রে আরও ৪৪টি দেশের নাগরিক হওয়ার সুযোগ বাড়িয়েছে সরকার। এমন সিদ্ধান্ত দেশের সামগ্রিক স্বার্থের জন্য সুফল বয়ে আনবে বলে আপনি কি মনে করেন?,0,61,35,4
26 February 2023,"আসন্ন পবিত্র রমজানে মাছ, মাংস, দুধ, ডিমের দাম কোনোভাবেই বাড়বে না—মৎস্য ও প্রাণিসম্পদমন্ত্রী শ ম রেজাউল করিমের এই কথায় আপনি কি আস্থা রাখেন?",0,3,96,1
25 February 2023,রমনা পার্ক দিনের বেলা সাড়ে তিন ঘণ্টা বন্ধ রাখা নাগরিকদের শারীরিক ও মানসিক বিকাশের জন্য বাধা উল্লেখ করে তা সারা দিন খোলা রাখার পরামর্শ দিয়েছেন নগর-পরিকল্পনাবিদ আদিল মুহাম্মদ খান। আপনি কি তা চান?,0,92,7,1
24 February 2023,"আদানি গোষ্ঠী সম্পর্কে হিনডেনবার্গ রিসার্চের প্রতিবেদন নিয়ে গণমাধ্যমে লেখালেখির বিরুদ্ধে নিষেধাজ্ঞা জারির এক আবেদনের জবাবে ভারতের সুপ্রিম কোর্ট বলেছেন, ‘গণমাধ্যমের বিরুদ্ধে আমরা কখনো কোনো নিষেধাজ্ঞা জারি করব না।’ সর্বোচ্চ আদালতের এমন অবস্থান দেশটিতে গণমাধ্যমের স্বাধীনতা রক্ষায় ইতিবাচক ভূমিকা রাখবে বলে মনে করেন কি?",0,97,2,1
23 February 2023,নির্বাচনকালীন সরকারব্যবস্থা প্রশ্নে বড় দুই দলের অনড় অবস্থান দেশের জন্য বিপজ্জনক—সিইসি কাজী হাবিবুল আউয়ালের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,95,4,1
22 February 2023,জাতীয় ক্রিকেট দলের সহকারী কোচ নিয়োগে এবার স্থানীয় কোচদের প্রতিও আগ্রহ দেখাচ্ছে বিসিবি। আপনিও কি তা–ই চান?,0,92,6,2
21 February 2023,পারমাণবিক অস্ত্র নিয়ন্ত্রণে যুক্তরাষ্ট্রের সঙ্গে থাকা একমাত্র চুক্তিটি স্থগিতের ঘোষণা দিয়েছেন রাশিয়ার প্রেসিডেন্ট ভ্লাদিমির পুতিন। এতে সংকট আরও বাড়বে বলে আপনি কি মনে করেন?,0,89,10,1
20 February 2023,দুর্ঘটনা কমাতে দ্রুতগতির স্পোর্টি মোটরসাইকেল আমদানিতে শুল্ক বাড়িয়ে কম গতির স্কুটি মোটরসাইকেলে শুল্ক ছাড়ের কথা বলা হয়েছে এ–সংক্রান্ত নীতিমালার খসড়ায়। আপনি কি তা সমর্থন করেন?,0,81,18,1
19 February 2023,বিশ্ববিদ্যালয়ের হলগুলোয় নির্যাতনের বিচার হয় না বলে ক্ষমতাসীন দলের ছাত্র সংগঠনের নেতা–কর্মীরা বেপরোয়া হয়ে পড়েছেন—চট্টগ্রাম বিশ্ববিদ্যালয়ের যোগাযোগ ও সাংবাদিকতা বিভাগের সহকারী অধ্যাপক সুবর্ণা মজুমদারের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,99,1,0
18 February 2023,অপকর্মকারী ছাত্রলীগের নেতা-কর্মীদের আইনের আওতায় আনতে বলেছেন আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদের। এসব অপরাধীর শাস্তি হবে বলে আপনি কি মনে করেন?,0,4,95,1
17 February 2023,রপ্তানির পোশাক চুরিসহ বিভিন্ন ধরনের অপরাধ ঠেকাতে ঢাকা-চট্টগ্রাম মহাসড়কে ক্লোজড সার্কিট (সিসি) ক্যামেরা চালু করা হচ্ছে। এটা ফলপ্রসূ হবে বলে কি আপনি মনে করেন?,0,23,75,2
16 February 2023,"আওয়ামী লীগের সাধারণ সম্পাদক ও সেতুমন্ত্রী ওবায়দুল কাদের বলেছেন, ইউরোপীয় ইউনিয়ন (ইইউ) বাংলাদেশে অংশগ্রহণমূলক জাতীয় সংসদ নির্বাচন দেখতে চায়। বর্তমান নির্বাচন কমিশন ইইউর এ প্রত্যাশা পূরণ করতে পারবে বলে কি আপনি মনে করেন?",0,77,23,0
15 February 2023,টিকিট কালোবাজারি ঠেকাতে ট্রেনের টিকিট কেনায় জাতীয় পরিচয়পত্র বা জন্মনিবন্ধন সনদ বাধ্যতামূলক করেছে রেল কর্তৃপক্ষ। আপনি কি তা সমর্থন করেন?,0,85,14,1
14 February 2023,পার্ক ও খেলার মাঠ থেকে সব ধরনের বাণিজ্যিক স্থাপনা অপসারণের দাবি জানিয়েছে ২৬টি সংগঠন। আপনি কি এই দাবির সঙ্গে একমত?,0,98,2,0
13 February 2023,কর্তৃপক্ষ গঠন করে আগামী জুলাই থেকে পরীক্ষামূলকভাবে সর্বজনীন পেনশন ব্যবস্থা চালুর উদ্যোগ নিয়েছে সরকার। এটা সফল হবে বলে আপনি কি আশাবাদী?,0,19,78,3
12 February 2023,নিত্যপণ্যের দামে কারসাজি না করতে ব্যবসায়ীদের প্রতি আহ্বান জানিয়েছেন এফবিসিসিআইয়ের সভাপতি মো. জসিম উদ্দিন। ব্যবসায়ীরা তাঁর এ আহ্বানে সাড়া দেবেন বলে আপনি মনে করেন কি?,0,2,97,1
11 February 2023,১১ বছরেও সাংবাদিক দম্পতি সাগর–রুনি হত্যাকাণ্ডের সুরাহা না হওয়া আইনশৃঙ্খলা রক্ষাকারী বাহিনীর সদিচ্ছার ঘাটতির প্রমাণ দেয়—সাংবাদিক সংগঠনের নেতাদের এই অভিযোগ যৌক্তিক বলে আপনি মনে করেন কি?,0,96,3,1
10 February 2023,বিতর্কের মুখে ২০২৩ শিক্ষাবর্ষের ষষ্ঠ ও সপ্তম শ্রেণির ইতিহাস ও সামাজিক বিজ্ঞান বিষয়ের ‘অনুসন্ধানী পাঠ’ বই দুটির পাঠদান প্রত্যাহার করেছে জাতীয় শিক্ষাক্রম ও পাঠ্যপুস্তক বোর্ড। এ পদক্ষেপে পাঠ্যপুস্তক নিয়ে চলমান বিতর্কের অবসান ঘটবে বলে মনে করেন কি?,0,7,90,3
9 February 2023,ব্যাংকের চাকরিতে পদোন্নতির ক্ষেত্রে ব্যাংকিং ডিপ্লোমা পাস বাধ্যতামূলক করেছে বাংলাদেশ ব্যাংক। এটা যৌক্তিক বলে আপনি কি মনে করেন?,0,37,61,2
8 February 2023,নগরবাসীকে যানজটের ভোগান্তি থেকে রেহাই দিতে কর্মদিবসে রাজনৈতিক কর্মসূচি না দিতে দলগুলোর প্রতি আহ্বান জানিয়েছেন ঢাকার পুলিশ কমিশনার খন্দকার গোলাম ফারুক। আপনি কি তা সমর্থন করেন?,0,83,15,2
7 February 2023,"জাতীয় পার্টির চেয়ারম্যান জি এম কাদের বলেছেন, সরকারের ভুলত্রুটি ধরিয়ে দিতে সমালোচনা করা হয়। কিন্তু দেশে সমালোচকদের মুখ বন্ধ করার চেষ্টা চলছে। আপনি কি তা মনে করেন?",0,92,7,1
6 February 2023,"ভূতাত্ত্বিক গঠন ও টেকটোনিক কাঠামোর কারণেই বাংলাদেশ ভূমিকম্পপ্রবণ এলাকা। বিশেষ করে ঢাকা, সিলেট, চট্টগ্রাম ও পার্বত্য চট্টগ্রাম অঞ্চল ভূমিকম্পের ঝুঁকিতে রয়েছে বলে মত বিশেষজ্ঞদের। এমন প্রেক্ষাপটে আপৎকালীন পরিস্থিতি মোকাবিলায় এখনই প্রস্তুতিমূলক পদক্ষেপ নেওয়া দরকার বলে মনে করেন কি?",0,96,3,1
5 February 2023,"গণফোরামের সংসদ সদস্য মোকাব্বির খান বলেছেন, বিদেশে ‘সেকেন্ড হোম’ নিয়ে কথা বললে দেখা যাবে, কেঁচো খুঁড়তে সাপ বেরিয়ে আসছে। আপনি কি তা মনে করেন?",0,98,1,1
4 February 2023,"ফৌজদারি মামলায় পুলিশ, চিকিৎসকসহ সরকারি কর্মকর্তা-কর্মচারীদের সাক্ষ্য দেওয়ার জন্য ভাতা চালু করছে সরকার। এতে সাক্ষ্য দেওয়ার হার বাড়বে বলে আপনি কি মনে করেন?",0,78,19,3
3 February 2023,কোনো শিক্ষাপ্রতিষ্ঠানে এখনো বই না পৌঁছালে ওয়েবসাইট থেকে পড়ানোর জন্য শিক্ষকদের পরামর্শ দিয়েছেন শিক্ষামন্ত্রী দীপু মনি। তাঁর এ পরামর্শকে আপনি সমর্থন করেন কি?,0,9,90,1
2 February 2023,"আওয়ামী লীগের সংসদ সদস্য দবিরুল ইসলাম বলেছেন, ‘ইউএনও, ডিসি—তাঁরাই মনে হয় দেশটার মালিক। তাঁরা যা করেন, সেটাই চলে।’ তাঁর এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,78,11,2
1 February 2023,বিসিবি ঠিকভাবে পরিচালিত করতে পারলে চন্ডিকা হাথুরুসিংহের কাছ থেকে বাংলাদেশ দল ভালো কিছু পেতে পারে বলে মনে করেন সাবেক অধিনায়ক মাশরাফি বিন মুর্তজা। আপনি কি তা মনে করেন?,0,65,32,3
31 January 2023,মেলায় উসকানিমূলক বই প্রকাশ ঠেকাতে কাজ করবে ঢাকা মহানগর পুলিশ। আপনি কি তা সমর্থন করেন?,0,21,78,1
30 January 2023,দেশে দুর্নীতিবিরোধী পদক্ষেপ একটি পর্যায় পর্যন্ত গিয়ে থমকে যাওয়ার কারণে দুর্নীতি বন্ধ হচ্ছে না বলে মনে করেন বাংলাদেশের ওয়ার্কার্স পার্টির সভাপতি রাশেদ খান মেনন। আপনি কি তাঁর সঙ্গে একমত?,0,100,0,0
29 January 2023,রাজনৈতিক বিভাজন এখন এমন পর্যায়ে গেছে যে গ্রামে পর্যন্ত ভাগ হয়ে গেছে—বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীরের এ বক্তব্যের সঙ্গে আপনি কি একমত?,0,88,11,1
28 January 2023,"আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদের বলেছেন, দক্ষিণ এশিয়া তো বটেই, অনেক উন্নত দেশের তুলনায় আমরা ভালো আছি। আপনি কি তা মনে করেন?",0,9,90,1
27 January 2023,চুরির ঘটনা যেন স্বাভাবিক হয়ে দাঁড়িয়েছে বাগেরহাটের রামপাল কয়লাভিত্তিক তাপবিদ্যুৎকেন্দ্রে। এত দিন মূল কেন্দ্রের বাইরের মালামাল চুরি হলেও এবার কেন্দ্রের ভেতরে তালাবদ্ধ ঘর থেকে প্রায় অর্ধকোটি টাকার যন্ত্র খোয়া গেছে। এসব ঘটনা দেশের বিদ্যুৎকেন্দ্রগুলোর নিরাপত্তাঘাটতিকেই নির্দেশ করছে বলে মনে করেন কি?,0,97,2,1
26 January 2023,"দেশে ব্যবসার পরিবেশ উন্নত না হওয়ায় ক্ষোভ প্রকাশ করে বাণিজ্যমন্ত্রী টিপু মুনশি বলেছেন, আমরা কথায় অনেক স্মার্ট, তবে কাজে তেমনটা নই। তাঁর এ বক্তব্যের সঙ্গে আপনি একমত?",0,97,2,1
25 January 2023,"দুদকের চেয়ারম্যান মোহাম্মদ মঈনউদ্দীন আবদুল্লাহ বলেছেন, দুর্নীতিতে অভিযুক্ত ব্যক্তি যে-ই হোক, তার বিরুদ্ধে অনুসন্ধান-তদন্ত করতে প্রস্তুত আছেন তাঁরা। আপনি কি তা মনে করেন?",0,3,96,1
24 January 2023,"জনবসতি নেই, এমন জায়গায়ও সেতু নির্মাণ করা হচ্ছে বলে ডিসি সম্মেলনে উল্লেখ করেছেন জেলা প্রশাসকেরা। অপ্রয়োজনে সরকারি অর্থ অপচয় করে অবকাঠামো নির্মাণ বন্ধে পদক্ষেপ নেওয়া হবে বলে আপনি কি মনে করেন?",0,5,94,1
23 January 2023,"বাসের মালিক পুলিশ, রাজনীতিবিদ ও শক্তিশালী মানুষেরা; তাই কিছু হয় না—জাতীয় পার্টির সংসদ সদস্য কাজী ফিরোজ রশীদের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,99,1,0
22 January 2023,সরকার শক্ত অবস্থান নিলে অর্থ পাচার ব্যাপকভাবে হতে পারে না—সাবেক আইনমন্ত্রী শফিক আহমেদের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,99,1,0
21 January 2023,এমপিওভুক্ত বেসরকারি শিক্ষাপ্রতিষ্ঠানের শিক্ষক ও কর্মচারীদের সরাসরি রাজনীতিতে যুক্ত হওয়ার সুযোগ বন্ধের কথা বলেছেন জেলা প্রশাসকেরা। আপনি কি তা সমর্থন করেন?,0,95,5,0
20 January 2023,তরলীকৃত প্রাকৃতিক গ্যাসের (এলএনজি) দাম খোলাবাজারে কমতির দিকে। এলএনজির দাম প্রতি ইউনিট ২৫ ডলারের নিচে নেমে এসেছে। অথচ গত বছর বিশ্ববাজারে এ দাম ৭০ ডলারে উঠেছিল। দামের এ নিম্নমুখী প্রবণতা দেশের বাজারে ইতিবাচক প্রভাব ফেলবে বলে মনে করেন কি?,0,10,89,1
19 January 2023,"বৈষয়িক দিক থেকে বাংলাদেশের অনেক উন্নয়ন হয়েছে, কিন্তু একই সঙ্গে পাল্লা দিয়ে মূল্যবোধের অবক্ষয় হয়েছে—নাট্যজন রামেন্দু মজুমদারের এই বক্তব্যের সঙ্গে আপনি কি একমত?",0,95,3,2
18 January 2023,সর্বোচ্চ গুরুত্ব দিয়ে রাজধানীতে চুরির বিরুদ্ধে ব্যবস্থা নিয়ে তা বন্ধ করার নির্দেশ দিয়েছেন ঢাকার পুলিশপ্রধান খন্দকার গোলাম ফারুক। পুলিশ চুরি বন্ধ করতে পারবে বলে আপনি কি মনে করেন?,0,5,94,1
17 January 2023,"সরকার নির্বাচনের সময় রুটিন সরকারের দায়িত্ব পালন করবে, নির্বাচনের কার্যক্রমে কোনো হস্তক্ষেপ করবে না—সড়ক পরিবহনমন্ত্রী ওবায়দুল কাদেরের এই কথামতো কাজ হবে বলে আপনি কি মনে করেন?",0,7,92,1
16 January 2023,সরকারি কর্ম কমিশনের (পিএসসি) পরীক্ষার প্রশ্নপত্র ফাঁসে ১০ বছরের সাজাসহ জালিয়াতির জন্য শাস্তি নিশ্চিতে নতুন আইন করা হয়েছে। এতে এসব পরীক্ষায় জালিয়াতি-প্রতারণা কমবে বলে আপনি কি মনে করেন?,0,13,86,1
15 January 2023,বিদেশে বাংলাদেশের সংসদ সদস্য-কর্মকর্তাদের বাড়ি-গাড়ির খবরের তদন্ত দাবি করেছেন জাতীয় পার্টির মহাসচিব মুজিবুল হক। এ বিষয়ে সুষ্ঠু তদন্ত হবে বলে আপনি কি মনে করেন?,0,3,96,1
14 January 2023,সরকার পরিবেশ ধ্বংস করে কোনো উন্নয়ন প্রকল্প করবে না—পরিকল্পনামন্ত্রী এম এ মান্নানের এই বক্তব্যে আপনি কি আস্থা রাখেন?,0,6,93,1
13 January 2023,মূল্যবৃদ্ধির মধ্য দিয়ে নিরবচ্ছিন্ন বিদ্যুৎ পাওয়ার নিশ্চয়তা নেই। দেশে সামগ্রিকভাবে বিদ্যুৎ উৎপাদন বাড়ালেও বিদ্যুৎ খাতের দক্ষতা বাড়েনি। বিদ্যুতের মূল্যবৃদ্ধি প্রসঙ্গে সিপিডির গবেষণা পরিচালক খন্দকার গোলাম মোয়াজ্জেম এমন মন্তব্য করেন। আপনি কি এর সঙ্গে একমত?,0,98,2,0
12 January 2023,পাবলিক বিশ্ববিদ্যালয়গুলোতে শিক্ষক এবং কর্মকর্তা-কর্মচারী নিয়োগে অনিয়ম দূর করতে পিএসসির আদলে একটি স্বতন্ত্র কমিশন গঠনের সুপারিশ করেছে ইউজিসি। আপনি কি তা সমর্থন করেন?,0,91,7,2
11 January 2023,সংঘাত এড়িয়ে অহিংস কর্মসূচির মাধ্যমে সরকার পতনের আন্দোলন চালিয়ে যাওয়ার লক্ষ্য নিয়েছে বিএনপি। এই পথে দলটি সফল হবে বলে আপনি মনে করেন কি?,0,8,91,1
10 January 2023,"অর্থমন্ত্রী আ হ ম মুস্তফা কামাল বলেছেন, অর্থ পাচার রোধ এবং পাচার করা অর্থ বাংলাদেশে ফেরত আনার বিষয়ে সরকারের সব সংস্থা একযোগে কাজ করে যাচ্ছে। পাচার করা অর্থ দেশে ফেরত আসবে বলে আপনি কি মনে করেন?",0,79,21,0
9 January 2023,"নির্বাচনে প্রার্থী হতে কেউ যাতে বাধার সম্মুখীন না হন, সে জন্য অনলাইনে মনোনয়নপত্র জমার বিধান করতে চায় নির্বাচন কমিশন। এটা সুফল আনবে বলে আপনি কি মনে করেন?",0,84,13,3
8 January 2023,সরকারের সদিচ্ছা থাকলে বিদেশে পাচার হওয়া অর্থের মধ্যে ১০-২০ হাজার কোটি টাকা ফেরত আনা সম্ভব—গবেষণা প্রতিষ্ঠান পলিসি রিসার্চ ইনস্টিটিউটের নির্বাহী পরিচালক আহসান এইচ মনসুরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,0,94,5,1
7 January 2023,"বিদ্যুতের দাম বাড়ানোর প্রস্তাব দিয়ে বিতরণ কোম্পানিগুলো বলেছে, গ্রাহক বিদ্যুতের ব্যবহারে সাশ্রয়ী হলে তাঁদের মাসের খরচ বাড়বে না। এই বক্তব্য যৌক্তিক বলে আপনি কি মনে করেন?",0,3,96,1
6 January 2023,রমজানে নিত্যপণ্যের দাম বাড়বে না বলে আশ্বাস দিয়েছেন বাণিজ্যমন্ত্রী টিপু মুনশি। মন্ত্রীর এ আশ্বাসের পরও বাজার নিয়ন্ত্রণে থাকবে বলে মনে করেন কি?,0,2,97,1
5 January 2023,"পুলিশের মহাপরিদর্শক চৌধুরী আবদুল্লাহ আল-মামুন বলেছেন, থানা হবে জনগণের সেবা পাওয়ার ভরসাস্থল। পুলিশ সদস্যরা সেভাবে কাজ করবেন বলে আপনি কি আশাবাদী?",0,4,95,1
